フィラリア	⇒糸状虫 (しじょうちゅう) 
笛奴鯛	チョウチョウウオ科の海水魚。全長約10センチ。チョウチョウウオに似て、吻 (ふん) が長く突出し、しりびれ後方に黒斑がある。本州中部以南に分布。
フォックステリア	家畜の犬の一品種。英国の原産。小形のテリアで、狐狩りなどに用いた。
フォックスハウンド	犬の一品種。狐狩り用の中形のハウンド。毛は短く、色は白・黒・褐色の斑 (まだら) 。耳は垂れている。英国原産のものと米国の改良品種とがある。
鱶	（西日本で）大形のサメのこと。
河豚	フグの古名。〈和名抄〉
膨ら雀	１ まるまると太った雀。また、寒さに全身の羽毛をふくらませている雀。《季 冬》２ 紋所・文様の名。羽をのばした1の姿を図案化したもの。３ 女性の髪の結い方の一。2の形に似せて中央を締め、左右に髷 (まげ) を作るもの。江戸末期以降、10代の少女が結った。４ 若い女性の帯の結び方の一。袋帯で両側に角を出し、お太鼓に似せて結んだもの。二枚扇。５ （「脹天蛾」とも書く）ヤガ科のガ。体は太く暗茶褐色で、前翅 (まえばね) には波状の紋、後ろ翅には黒色と青色の帯がある。成虫で冬を越し、暖かい日に飛び出す。幼虫は芋虫で、食草はイラクサなど。
袋蟻食	有袋目フクロアリクイ科の哺乳類。吻 (ふん) がとがり、細長い舌でシロアリを食べる。オーストラリア南西部に分布。
梟	１ フクロウ科の鳥。全長約50センチ、全身灰褐色。目が顔の前面に並び、くちばしは短く、鉤 (かぎ) 状。夜、羽音をさせずに飛び、野ネズミやウサギなどを捕食する。ユーラシアの温帯・寒帯に広く分布。日本でも平地林にすむ。《季 冬》「梟の来ぬ夜も長し猿の声／北枝」２ フクロウ目フクロウ科の鳥のうち、頭に耳のような飾り羽をもつミミズクを除くものの総称。フクロウ・シロフクロウ・アオバズクなど。大部分は夜行性。[補説]作品名別項。→梟
梟鸚鵡	⇒カカポ
袋狼	フクロネコ科の哺乳類。外形はオオカミに似る。体長1～1.3メートル、尾長50～55センチ。体色は淡褐色で背から尾にかけ暗色の横縞がある。タスマニア島の森林に生息したが、移民による大量捕殺により絶滅したと考えられる。タスマニアタイガー。タスマニアオオカミ。
袋熊	コアラ、またはタスマニアデビルの別名。
袋蜘蛛	１ フクログモ科フクログモ属のクモの総称。樹皮下にいるムナアカフクログモ、葉を三つに折り曲げて中にいるハマキフクログモなど。２ ジグモの別名。
袋猫	有袋目フクロネコ科の哺乳類。猫に似た小形の肉食獣。淡褐色に白斑がある。オーストラリア大陸およびタスマニア島に分布。ふくろいたち。
袋鼠	オポッサムの別名。
袋虫	根頭目フクロムシ科の甲殻類の総称。カニ・エビ・ヤドカリなどの腹部に寄生する。体は袋状で、根のような突起を宿主の体内に入れて養分を吸収し、宿主に去勢の現象を起こす。
河豚	《「ふく」とも》フグ目フグ科の魚の総称。海産のものが多い。体はふつう太っていて腹びれがなく、体表にとげ状のうろこをもつものや、うろこのないものがある。口は小さく、歯は癒合してくちばし状を呈し、よく水を飲んで体を膨らませる。多くは内臓に毒をもつ。肉は淡白で美味。トラフグ・マフグ・キタマクラなど、日本近海に約40種が知られる。フグ目にはハコフグ科・ハリセンボン科なども含まれる。ふくべ。かとん。《季 冬》「河豚の面世上の人を白眼 (にら) む哉／蕪村」
ふしだに	フシダニ科のダニの総称。体は蛆虫 (うじむし) 形で、淡黄色から橙 (だいだい) 色をし、足が二対しかない。種々の植物に寄生し、葉を枯らしたり虫瘤 (むしこぶ) を作ったりする。
没食子蜂	タマバチの別名。
富士壺	フジツボ科・イワフジツボ科の甲殻類の総称。海産で、岩や船底などに固着する。殻は石灰質で円錐状をなし、中に体が倒立した状態で収まっている。頂部から蔓 (つる) 状の六対の脚を伸ばし、プランクトンなどを集めて食べる。種類が多い。
藤海鼠	クロナマコ科のナマコ。房総半島以南の浅海にみられ、体長20～50センチ。背面は淡灰褐色で褐色の斑点が縦に2列並ぶ。腸内にカクレウオがすむ。
不如帰	ホトトギスの別名。
浮塵子	１ ユスリカなどの別名。２ ウンカの漢名。
蓋	１ 物の口にあてがってふさぐもの。「鍋 (なべ) の蓋をとる」２ サザエ・タニシなどの貝の口を覆うもの。３ スッポンのこと。 「江戸ぢゃあね、すっぽんをしゃれて―といひやすよ」〈滑・浮世風呂・二〉
二声鳥	ハトの別名。
双峰駱駝	ラクダ科の一種。こぶが二つあり、モンゴルから中央アジアにかけての砂漠地帯で家畜として用いられる。野生のものはタクラマカン砂漠にわずかに生存。
ふっこ	スズキの若魚。全長40センチくらいのものをいう。《季 秋》
普通海綿	普通海綿綱の海綿動物の総称。珪酸質の骨片をもち、海綿質の発達しているものと欠くものとがある。ムラサキカイメン・モクヨクカイメンなど。尋常海綿。
筆石	古生代オルドビス紀・シルル紀に栄えた半索動物に属すると考えられる化石動物。キチン質の外殻がのこぎり状の枝をつくり、さらに枝が集まって群体を形成。多くは海中で浮遊生活をしていたが海底にすむものもあった。
筆貝	フデガイ科の巻き貝。浅海の砂底にすむ。貝殻は筆の穂先に似た長紡錘形で、殻高7センチくらい。殻表は褐色に白い縞が格子状にある。本州中部以南に分布。かやがい。
筆つ虫	コオロギの別名。
太角鮫	ツノザメ科の海水魚。全長約80センチ。全体に灰色で、背びれに鋭いとげがある。東北地方以南、南シナ海とハワイに分布。あぶらざめ。
鮒	コイ科の淡水魚。日本の湖沼・河川で最も一般的な魚で、コイに似るが口ひげがなく、体高が高くて側扁する。キンブナ・ギンブナ・ゲンゴロウブナ・ニゴロブナなどの亜種に分けられる。アジア大陸に広く分布し、金魚はその飼養品種。
船食虫	フナクイムシ科の二枚貝。体は細長く、30センチ以上にもなる。石灰質を分泌して管を作り、その中に入っている。貝殻は退化して小さく、体の前部につき、表面にあるやすり目状の肋 (ろく) で、木造船や海中の木材に穴をあけてすむ。
船虫	等脚目フナムシ科の甲殻類。多く海岸の岩石の間などに群れをなしてすみ、体長4センチくらい。体は小判形で、横長の体節に分かれ、胸脚は七対ある。《季 夏》「船虫に心遊ばせ月を待つ／亜浪」
船蛸	タコブネの別名。
布穀鳥	カッコウの古名。〈和名抄〉
蜉蝣	１ カゲロウのこと。２ 《1が朝に生まれて夕べに死ぬといわれるところから》人生のはかないことのたとえ。 「―の微命、もとより死を畏れず」〈露伴・運命〉
冬水鶏	クイナの別名。
フラミンゴ	フラミンゴ目フラミンゴ科の鳥の総称。全身淡紅色で、首と脚が長く、くちばしは「く」の字形に曲がり、上くちばしを動かして水中からえさを濾 (こ) して食べる。アフリカ・インド・南アメリカなどの熱帯地方に6種ほどが分布、大群で海岸や湖にすむ。紅鶴 (べにづる) 。
フラミンゴシクリッド	アフリカ産の淡水魚。オレンジ色で、観賞用。
フランクリン鴎	チドリ目カモメ科の鳥。北アメリカ中部に生息する。カモメ類としてはやや小形で、全長約35.5センチ。夏羽は、頭が黒く美しい。フランクリンズガル。
ふるき	黒貂 (くろてん) の古名。 「表着 (うはぎ) には―の皮衣 (かはぎぬ) 」〈源・末摘花〉
フレンチブルドッグ	犬の一品種。ブルドッグをもとにフランスで作出された小形犬。ぴんと立った三角形の大きな耳が特徴。
糞転がし	「球押金亀子 (たまおしこがね) 」の俗称。
